vt_symbol,name,date,ym,组,出手,通道,位置,夹层,曾收顶上,res,D1开%,D1收%,板留%,距顶%,坑深%,弹回%,坑宽,ma_st,上波高,昨幅%,昨上影%,昨涨停家,is_wv,v3grp,is_lim,n1_lim,prev_lim
000657.SZSE,中钨高新,2025-11-05,2025-11,2板补涨阴,False,,U坑内,,True,封D1正,0.2,0.2,0.2,-8.04,-8.12,0.09,5,+++,2,0.09,1.01,44.0,False,,True,False,False
000659.SZSE,珠海中富,2026-01-27,2026-01,2板补涨阴,False,,无U,,True,封D1负,-0.41,-0.61,-0.61,15.46,0.52,14.87,19,+++,2,0.0,2.23,57.0,False,,True,False,False
000668.SZSE,荣丰控股,2026-07-29,2026-07,2板补涨阴,False,,无U,,True,封D1负,2.76,-6.35,-6.35,4.41,4.41,0.0,3,+--,2,-3.0,2.73,57.0,False,,True,False,False
000668.SZSE,荣丰控股,2026-08-10,2026-08,2板补涨阴,False,,无U,,False,炸板,-2.18,-1.16,-1.16,10.92,4.41,6.23,11,++-,2,-0.71,1.82,59.0,False,,False,False,False
000670.SZSE,盈方微,2023-12-07,2023-12,2板补涨阴,False,,U坑内,,False,封D1负,-1.32,-0.66,-0.66,-21.6,-21.6,0.0,9,-++,2,-1.15,1.73,33.0,False,,True,False,False
000676.SZSE,智度股份,2023-11-07,2023-11,2板补涨阴,False,,无U,,False,炸板,-13.32,-8.4,-8.4,10.05,4.84,4.97,5,+++,2,2.31,3.11,47.0,False,,False,False,False
000676.SZSE,智度股份,2024-01-31,2024-01,2板补涨阴,False,,U坑内,,False,炸板,-6.99,-8.81,-8.81,-24.94,-24.94,0.0,13,---,2,-3.7,0.59,18.0,False,,False,False,False
000676.SZSE,智度股份,2024-10-21,2024-10,2板补涨阴,False,,U突破,,True,连板,5.47,10.03,10.74,4.18,-5.92,10.74,9,+++,2,0.0,2.34,77.0,True,03,True,True,False
000678.SZSE,襄阳轴承,2024-09-19,2024-09,2板补涨阴,False,,U突破,,False,封D1负,-0.59,-2.35,-2.35,1.98,-12.53,16.58,19,+++,2,-4.53,3.29,21.0,False,,True,False,False
000679.SZSE,大连友谊,2024-07-17,2024-07,2板补涨阴,True,U坑,U坑内,,False,封D1正,5.38,6.45,6.45,-15.33,-18.67,4.1,9,-++,2,-1.17,0.0,23.0,False,,True,False,False
000679.SZSE,大连友谊,2024-08-28,2024-08,2板补涨阴,False,,U坑内,,False,炸板,-7.0,-7.33,-7.33,-27.59,-28.38,1.11,16,--+,2,-2.15,2.15,23.0,False,,False,False,False
000679.SZSE,大连友谊,2024-08-30,2024-08,2板补涨阴,False,,U坑内,,False,封D1负,0.0,-2.61,-2.61,-26.26,-28.38,2.96,18,--+,2,-0.71,0.71,37.0,False,,True,False,False
000679.SZSE,大连友谊,2025-01-13,2025-01,2板补涨阴,False,,U坑内,,True,连板,5.87,9.96,15.66,-39.74,-39.74,0.0,19,--+,2,-6.07,0.0,35.0,True,05,True,True,False
000679.SZSE,大连友谊,2025-02-17,2025-02,2板补涨阴,False,,无U,,True,炸板,-2.98,0.45,0.45,-1.29,-3.07,1.84,18,+++,2,-6.15,0.0,53.0,False,,False,False,False
000681.SZSE,视觉中国,2026-01-29,2026-01,2板补涨阴,False,,U坑内,,False,炸板,-6.25,-8.0,-8.0,-17.28,-17.28,0.0,12,-++,2,-7.03,2.07,72.0,False,,False,False,False
000686.SZSE,东北证券,2024-10-31,2024-10,2板补涨阴,False,,U坑内,,False,炸板,-4.1,-2.16,-2.16,-11.42,-18.4,8.56,17,+++,2,-3.5,0.72,118.0,False,,False,False,False
000688.SZSE,国城矿业,2025-11-13,2025-11,2板补涨阴,False,,无U,,False,封D1正,2.5,3.4,3.4,-3.65,-3.65,0.0,2,+++,2,-3.65,2.39,48.0,False,,True,False,False
000695.SZSE,滨海能源,2024-11-20,2024-11,2板补涨阴,False,,U突破,,False,封D1正,0.0,5.99,5.99,-2.36,-7.25,5.27,5,+++,2,-4.31,2.64,79.0,False,,True,False,False
000700.SZSE,模塑科技,2026-01-21,2026-01,2板补涨阴,False,,U突破,,True,封D1负,-0.06,-3.76,-3.76,0.86,-5.69,6.95,14,-++,2,-4.24,1.09,50.0,False,,True,False,False
000700.SZSE,模塑科技,2026-06-15,2026-06,2板补涨阴,False,,U坑内,,True,封D1正,1.77,1.7,1.7,-13.15,-13.15,0.0,8,-++,2,-1.84,1.02,83.0,False,,True,False,False
