vt_symbol,name,date,ym,res,D1开%,D1收%,板留%,地基,回撤%,蹲深%,弹回%,低点位置,振幅%,破顶,断板,上波高,昨幅%,昨上影%,昨涨停家,is_wv,is_lim,n1_lim
600162.SSE,香江控股,2026-08-25,2026-08,炸板,-3.36,-0.89,-0.89,LB·L趴底,-13.98,-14.19,0.25,0.5714285714285714,16.05,False,9,2,-2.87,0.0,41.0,False,False,False
600167.SSE,联美控股,2025-10-10,2025-10,封D1负,-5.03,-4.6,-4.6,DN·阴跌到点,-19.51,-19.51,0.0,1.0,18.24,False,5,4,-6.08,0.99,74.0,False,True,False
600171.SSE,上海贝岭,2024-10-18,2024-10,连板,9.99,9.99,14.89,HIGH·新高贴顶,0.18,-2.75,3.01,0.3333333333333333,11.95,True,8,2,-1.09,0.67,41.0,True,True,True
600172.SSE,黄河旋风,2024-11-27,2024-11,封D1正,1.75,3.51,3.51,DN·阴跌到点,-26.3,-26.3,0.0,0.8823529411764706,22.19,False,19,2,-1.58,0.63,79.0,False,True,False
600172.SSE,黄河旋风,2024-12-31,2024-12,炸板,-7.28,4.23,4.23,DN·阴跌到点,-36.76,-36.76,0.0,1.0,42.38,False,16,5,-5.84,1.46,36.0,False,False,False
600172.SSE,黄河旋风,2026-05-22,2026-05,连板,4.64,10.01,20.75,DN·阴跌到点,-15.62,-15.62,0.0,1.0,18.42,False,7,3,-6.64,1.78,32.0,True,True,True
600172.SSE,黄河旋风,2026-07-06,2026-07,封D1负,-3.02,-1.02,-1.02,HIGH·新高贴顶,-0.53,-4.66,4.33,0.42857142857142855,13.06,True,9,2,-6.49,0.55,92.0,False,True,False
600173.SSE,卧龙新能,2025-09-29,2025-09,封D1负,5.11,-2.94,-2.94,HIGH·新高贴顶,-0.48,-5.36,5.16,0.5454545454545454,19.65,True,13,3,-3.24,3.01,39.0,False,True,False
600178.SSE,东安动力,2023-11-23,2023-11,连板,10.02,10.02,92.89,FLAT·横盘平台,-7.8,-8.51,0.78,0.2857142857142857,5.81,False,9,2,-4.18,0.0,44.0,True,True,True
600178.SSE,东安动力,2024-03-20,2024-03,封D1正,-1.77,0.14,0.14,HIGH·新高贴顶,-3.41,-3.41,0.0,1.0,4.43,True,4,2,-4.24,1.44,46.0,False,True,False
600178.SSE,东安动力,2026-06-22,2026-06,封D1负,-0.9,-3.81,-3.81,DN·阴跌到点,-14.19,-14.19,0.0,1.0,11.47,False,6,2,-4.73,2.31,75.0,False,True,False
600186.SSE,莲花控股,2023-10-30,2023-10,封D1负,0.0,-2.47,-2.47,MID·中位浅调,-8.43,-11.6,3.59,0.5,23.28,True,14,3,-5.42,1.85,67.0,False,True,False
600186.SSE,莲花控股,2025-02-05,2025-02,炸板,1.27,7.05,22.6,U·U型蹲,-19.78,-30.14,14.84,0.375,28.77,False,18,2,-4.01,1.53,35.0,False,False,True
600186.SSE,莲花控股,2025-03-05,2025-03,炸板,-6.59,-2.82,-2.82,HIGH·新高贴顶,3.84,2.61,1.2,0.375,19.31,True,18,2,-2.45,0.0,61.0,False,False,False
600191.SSE,华资实业,2024-03-28,2024-03,封D1负,-2.83,-0.94,-0.94,DN·阴跌到点,-17.47,-17.47,0.0,1.0,14.52,False,20,2,-2.23,0.41,39.0,False,True,False
600191.SSE,华资实业,2025-01-23,2025-01,炸板,-6.91,-7.03,-7.03,HIGH·新高贴顶,-3.15,-12.22,10.33,0.38461538461538464,17.81,True,15,2,-2.64,0.92,36.0,False,False,False
600191.SSE,华资实业,2025-01-27,2025-01,封D1负,-0.97,-2.65,-2.65,HIGH·新高贴顶,-0.92,-12.22,12.87,0.3333333333333333,17.81,True,17,2,-3.7,3.32,53.0,False,True,False
600192.SSE,长城电工,2025-07-28,2025-07,封D1负,4.76,-2.04,-2.04,DN·阴跌到点,-9.66,-9.66,0.0,1.0,24.71,True,18,3,-1.58,0.0,40.0,False,True,False
600192.SSE,长城电工,2026-07-10,2026-07,封D1负,0.0,-6.91,-6.91,DN·阴跌到点,-27.54,-27.54,0.0,1.0,28.76,False,16,2,-0.66,0.82,63.0,False,True,False
600198.SSE,大唐电信,2024-10-23,2024-10,连板,6.92,9.98,45.42,U·U型蹲,-4.49,-20.43,20.03,0.14285714285714285,21.77,False,16,6,-1.43,2.54,85.0,True,True,True
600203.SSE,福日电子,2023-10-23,2023-10,封D1负,3.48,-0.84,-0.84,MID·中位浅调,-17.03,-20.58,4.48,0.35294117647058826,22.56,False,19,2,-3.4,0.89,35.0,False,True,False
600203.SSE,福日电子,2024-05-08,2024-05,封D1正,0.0,2.86,2.86,MID·中位浅调,-12.4,-16.67,5.12,0.2222222222222222,14.88,False,11,2,-2.15,0.46,41.0,False,True,False
600203.SSE,福日电子,2024-10-14,2024-10,连板,7.32,9.97,29.92,HIGH·新高贴顶,1.41,-1.41,2.86,0.0,27.0,True,10,2,-5.39,0.0,28.0,True,True,True
600203.SSE,福日电子,2024-10-28,2024-10,连板,6.97,9.98,19.87,HIGH·新高贴顶,0.73,-2.71,3.54,0.6666666666666666,10.84,True,8,3,-2.23,1.11,121.0,True,True,True
600206.SSE,有研新材,2024-11-22,2024-11,炸板,0.25,5.24,-5.28,HIGH·新高贴顶,14.18,-2.62,17.26,0.0,17.26,True,7,5,2.97,3.01,88.0,False,False,True
600206.SSE,有研新材,2026-08-17,2026-08,封D1正,7.0,3.33,3.33,HIGH·新高贴顶,5.42,4.24,1.14,0.75,5.46,True,6,3,1.14,1.51,51.0,False,True,False
600215.SSE,派斯林,2026-01-29,2026-01,封D1负,-1.26,-2.39,-2.39,DN·阴跌到点,-14.42,-14.42,0.0,1.0,19.75,True,14,2,-3.85,0.8,72.0,False,True,False
600221.SSE,海航控股,2024-12-02,2024-12,封D1正,4.71,2.62,2.62,MID·中位浅调,-21.62,-25.23,4.82,0.7333333333333333,34.34,True,17,6,-1.69,1.13,105.0,False,True,False
600227.SSE,赤天化,2026-03-27,2026-03,封D1正,2.34,1.64,1.64,LB·L趴底,-26.65,-26.84,0.26,0.5,29.2,False,8,3,-2.51,2.01,36.0,False,True,False
600227.SSE,赤天化,2026-04-07,2026-04,封D1正,-1.83,1.57,1.57,DN·阴跌到点,-34.4,-34.4,0.0,1.0,44.09,False,14,3,-8.44,1.06,26.0,False,True,False
