vt_symbol,name,g2,n1_date,touch,seal,ret_d1,ret_bw
600778.SSE,友好集团,yin2,2024-09-30,14:15,True,0.018425460636515956,0.018425460636515956
600783.SSE,鲁信创投,yin2,2026-07-03,09:45,False,-0.1464452958705832,-0.1464452958705832
600787.SSE,中储股份,yin2,2024-11-26,10:15,True,0.03404255319148941,0.03404255319148941
600787.SSE,中储股份,yang2,2025-04-22,14:00,True,0.016516516516516422,0.016516516516516422
600797.SSE,浙大网新,yin2,2024-10-30,14:30,True,-0.0014025245441794398,-0.0014025245441794398
600797.SSE,浙大网新,yin2,2024-11-11,10:15,True,0.0997340425531914,0.054521276595744794
600797.SSE,浙大网新,yang2,2024-12-03,11:00,True,-0.048872180451127845,-0.048872180451127845
600800.SSE,渤海化学,yin2,2025-04-24,13:15,True,0.0060606060606061,0.0060606060606061
600800.SSE,渤海化学,yin2,2025-05-06,09:45,True,0.06470588235294117,0.06470588235294117
600800.SSE,渤海化学,yang2,2025-05-20,14:30,False,-0.04306220095693769,-0.04306220095693769
600800.SSE,渤海化学,yang2,2026-04-20,10:00,True,-0.009842519685039353,-0.009842519685039353
600802.SSE,福建水泥,yin2,2024-11-05,10:00,True,-0.013245033112582849,-0.013245033112582849
600802.SSE,福建水泥,yin2,2025-11-25,13:30,True,-0.04055944055944061,-0.04055944055944061
600807.SSE,济高发展,yin2,2025-01-16,09:45,True,-0.04067796610169494,-0.04067796610169494
600807.SSE,济高发展,yin2,2025-01-27,09:45,True,0.09929078014184411,0.07092198581560294
600807.SSE,济高发展,yin2,2025-02-07,09:45,False,-0.04518072289156627,-0.04518072289156627
600807.SSE,济高发展,yang2,2025-02-20,10:00,True,-0.012121212121212088,-0.012121212121212088
600815.SSE,厦工股份,yin2,2025-11-13,09:45,True,0.019607843137254832,0.019607843137254832
600815.SSE,厦工股份,yin2,2025-11-28,09:45,True,0.033766233766233666,0.033766233766233666
600816.SSE,建元信托,yin2,2024-10-31,11:15,False,-0.07536231884057976,-0.07536231884057976
600816.SSE,建元信托,yin2,2024-11-04,11:30,True,0.008547008547008517,0.008547008547008517
600819.SSE,耀皮玻璃,yin2,2025-10-29,09:45,False,-0.024705882352941244,-0.024705882352941244
600819.SSE,耀皮玻璃,yang2,2025-11-10,10:30,True,-0.020299145299145227,-0.020299145299145227
600819.SSE,耀皮玻璃,yin2,2025-11-12,13:45,False,-0.04856293359762143,-0.04856293359762143
600821.SSE,金开新能,yang2,2026-03-12,13:15,True,-0.06623735050597968,-0.06623735050597968
600821.SSE,金开新能,yin2,2026-03-18,09:45,False,0.04123711340206171,0.04123711340206171
600821.SSE,金开新能,yang2,2026-03-19,10:00,False,-0.06869565217391294,-0.06869565217391294
600822.SSE,上海物贸,yin2,2024-12-11,09:45,True,0.051088777219430614,0.051088777219430614
600825.SSE,新华传媒,yin2,2024-12-06,14:15,False,-0.07521578298397036,-0.07521578298397036
600825.SSE,新华传媒,yin2,2024-12-10,11:00,True,0.055757575757575895,0.055757575757575895
600825.SSE,新华传媒,yang2,2025-03-10,14:45,True,-0.023106546854942178,-0.023106546854942178
600828.SSE,茂业商业,yin2,2024-12-16,10:00,True,-0.10019646365422397,-0.10019646365422397
600828.SSE,茂业商业,yin2,2025-12-29,13:45,True,-0.00952380952380949,-0.00952380952380949
600828.SSE,茂业商业,yang2,2026-01-09,10:15,True,0.10014306151645203,0.15021459227467804
600828.SSE,茂业商业,yang2,2026-01-30,09:45,True,0.10030395136778125,0.045592705167173175
600828.SSE,茂业商业,yang2,2026-02-05,14:30,True,-0.06555269922879181,-0.06555269922879181
600828.SSE,茂业商业,yang2,2026-03-05,10:45,True,-0.019908116385911168,-0.019908116385911168
600829.SSE,人民同泰,yin2,2026-07-27,09:45,True,-0.012806830309498363,-0.012806830309498363
600829.SSE,人民同泰,yin2,2026-08-06,11:15,True,-0.0028985507246376274,-0.0028985507246376274
600835.SSE,上海机电,yang2,2025-02-26,10:00,True,-0.004985459077690102,-0.004985459077690102
600835.SSE,上海机电,yin2,2025-03-04,10:00,True,0.05843348528802328,0.05843348528802328
600838.SSE,上海九百,yin2,2025-12-23,13:15,False,-0.09881422924901184,-0.09881422924901184
600838.SSE,上海九百,yin2,2026-01-06,14:00,True,0.0705182667799491,0.0705182667799491
600838.SSE,上海九百,yang2,2026-01-08,14:00,True,-0.025252525252525193,-0.025252525252525193
600838.SSE,上海九百,yang2,2026-01-20,11:00,True,-0.028429282160625458,-0.028429282160625458
600839.SSE,四川长虹,yin2,2024-10-14,15:00,False,-0.022471910112359605,-0.022471910112359605
600839.SSE,四川长虹,yin2,2024-10-16,13:15,True,0.10000000000000009,0.6402985074626866
600839.SSE,四川长虹,yang2,2025-02-13,11:30,True,-0.02316602316602312,-0.02316602316602312
600844.SSE,金煤科技,yang2,2026-07-23,11:30,True,-0.01628664495113996,-0.01628664495113996
600844.SSE,金煤科技,yang2,2026-07-29,10:30,True,-0.037681159420289934,-0.037681159420289934
600847.SSE,万里股份,yin2,2024-09-19,10:30,True,-0.03172588832487311,-0.03172588832487311
600857.SSE,宁波中百,yin2,2026-05-29,10:00,True,0.013539651837524147,0.013539651837524147
600861.SSE,北京人力,yang2,2024-10-29,10:45,False,-0.08182640144665476,-0.08182640144665476
600864.SSE,哈投股份,yang2,2024-10-28,10:30,False,-0.054913294797687806,-0.054913294797687806
600864.SSE,哈投股份,yang2,2024-10-31,09:45,True,-0.009408602150537626,-0.009408602150537626
600865.SSE,百大集团,yang2,2025-01-21,14:00,True,0.026236125126135157,0.026236125126135157
600868.SSE,梅雁吉祥,yang2,2025-11-06,10:15,False,-0.042424242424242364,-0.042424242424242364
600868.SSE,梅雁吉祥,yin2,2025-12-05,13:15,True,0.01049868766404205,0.01049868766404205
600868.SSE,梅雁吉祥,yin2,2025-12-12,09:45,True,-0.020304568527918843,-0.020304568527918843
600869.SSE,远东股份,yang2,2026-05-29,13:15,True,-0.04647302904564321,-0.04647302904564321
600869.SSE,远东股份,yin2,2026-06-02,10:15,True,0.06408227848101244,0.06408227848101244
600871.SSE,石化油服,yang2,2025-11-12,10:00,True,0.015444015444015413,0.015444015444015413
600877.SSE,电科芯片,yin2,2024-10-14,13:15,False,0.008595988538681931,0.008595988538681931
600877.SSE,电科芯片,yang2,2024-10-21,10:30,True,-0.03855878634639698,-0.03855878634639698
600877.SSE,电科芯片,yin2,2024-11-04,13:15,False,-0.02292993630573248,-0.02292993630573248
600877.SSE,电科芯片,yin2,2026-01-21,11:30,False,0.021967526265520343,0.021967526265520343
600877.SSE,电科芯片,yang2,2026-01-22,09:45,False,0.004486316733961493,0.004486316733961493
