vt_symbol,name,g4,n1_date,h,lim3,vr_d0,vr_d1,gap_d1,bias10,tseg,B,ret_bw,A_B
001229.SZSE,魅视科技,yang2,2026-08-17,2,False,0.8696918627634563,1.0354151553122735,0.06289721674337057,10.521726493242255,早,0.051939513477974986,0.01512163050624582,-0.036817882971729166
001257.SZSE,盛龙股份,yang2,2026-06-11,4,True,1.9580063349188155,0.6865911986887047,0.09992069785884228,3.288692304541918,早,0.18556701030927836,0.2973830293417923,0.11181601903251392
001258.SZSE,立新能源,yang4,2026-08-10,2,False,1.190348930489586,1.571387634755486,-0.03314917127071826,12.518455202424427,早,0.06698895027624308,0.06767955801104986,0.0006906077348067807
001260.SZSE,坤泰股份,yang2,2023-11-21,2,False,1.7000818330605565,4.532546899560753,0.052000000000000046,12.10259629613022,,0.09640000000000004,-0.0040000000000000036,-0.10040000000000004
001267.SZSE,汇绿生态,yin2,2025-10-24,2,False,0.7188995168987143,1.2589194614126777,0.049464558898521194,19.304009247429587,中,0.14023457419683827,0.115757266700663,-0.02447730749617527
001299.SZSE,美能能源,yin2,2023-08-18,2,False,0.7578747841128077,1.1092318687201022,-0.012961116650049731,11.068047173467676,,0.046859421734795736,0.06380857427716857,0.016949152542372836
001314.SZSE,亿道信息,yin2,2023-12-19,2,False,0.5330497123126317,0.4881094317383939,0.07839780896953097,11.037196130233973,,0.09209174940088993,0.11691201643272842,0.024820267031838483
001316.SZSE,润贝航科,yang2,2025-04-30,4,True,0.4573166922779006,1.045402051650689,0.03149807938540339,4.016834478717168,早,0.15979513444302174,0.31165172855313705,0.15185659411011532
001379.SZSE,腾达科技,yin4,2024-08-19,2,False,1.4524932530620718,1.46511735448476,0.0270083102493075,2.6734926052332186,,0.0041551246537396835,-0.010041551246537384,-0.014196675900277067
002006.SZSE,精工科技,yin2,2024-11-27,2,False,0.8592889939048948,1.3154801164493422,0.03476245654692911,11.961598339387658,早,0.0428736964078793,0.0811123986095017,0.0382387022016224
002009.SZSE,天奇股份,yin2,2024-03-06,2,False,0.7300399530375185,0.11440664379388849,0.10000000000000009,8.020959290608642,,0.20970149253731352,0.15074626865671648,-0.05895522388059704
002015.SZSE,协鑫能科,yin2,2026-03-06,2,False,0.6615516609270186,0.7984037934531435,0.09987195902688861,14.65903251853482,早,0.1773367477592831,0.1600512163892447,-0.01728553137003841
002031.SZSE,巨轮智能,yang2,2024-11-29,5,True,1.511556274373396,0.14413614592306326,0.10042735042735051,8.308261976394359,午,0.21153846153846168,0.5598290598290598,0.34829059829059816
002037.SZSE,保利联合,yin2,2024-05-17,2,False,0.9842720792012146,1.4775157708782127,0.0,10.430387501914563,,0.11511789181692089,0.04160887656033285,-0.07350901525658804
002040.SZSE,南 京 港,yin2,2025-05-13,5,True,3.23792521297033,3.2266272843130346,0.04557291666666652,9.82410982410984,尾,0.21093750000000022,0.5598958333333335,0.34895833333333326
002040.SZSE,南 京 港,yang2,2025-10-13,2,False,1.6008072289704067,2.9705037509774774,0.010563380281690238,6.646639128802101,午,0.10035211267605648,0.022007042253521236,-0.07834507042253525
002044.SZSE,美年健康,yang2,2026-01-09,4,True,0.6891466078376393,0.15923325462746843,0.09951060358890707,12.849779086892488,早,0.20880913539967372,0.38825448613376845,0.17944535073409473
002046.SZSE,国机精工,yin4,2025-08-18,2,False,0.7082509585130227,0.5746170583901664,0.02181709503885232,12.127609664555482,早,0.148834429169157,0.1670651524208009,0.018230723251643877
002046.SZSE,国机精工,yang2,2026-01-09,2,False,1.2685677482148747,1.2674922851027823,0.0560465617589998,7.58099301964239,早,0.10497952144858802,0.11597327010131497,0.010993748652726953
002051.SZSE,中工国际,yin2,2026-04-14,2,False,1.1643447918903977,0.8335511165508417,0.05268022181146037,5.757012999706768,早,0.06654343807763397,0.0711645101663585,0.004621072088724532
002067.SZSE,景兴纸业,yang2,2025-09-16,3,True,0.399665403411468,0.0616389065496898,0.09966216216216206,13.08500477554919,早,0.20945945945945943,0.08783783783783794,-0.12162162162162149
002081.SZSE,金 螳 螂,yang4,2026-05-29,2,False,1.3226652297465455,2.1780032242326977,0.02110389610389607,1.85185185185186,早,0.13636363636363624,0.1120129870129869,-0.024350649350649345
002083.SZSE,孚日股份,yang2,2025-11-06,8,True,1.1244030142509984,0.932159470387138,0.06134969325153383,11.472046503675838,午,0.21012269938650308,0.9110429447852764,0.7009202453987733
002085.SZSE,万丰奥威,yang2,2024-03-11,2,False,1.0465920266773228,1.0888229236300204,0.05175983436852993,24.85459480418768,,0.1542443064182195,0.175983436853002,0.021739130434782483
