vt_symbol,name,g4,trade_date,n1_date,h,seal,a1,a2,st3,st3c,bias10,bias20,bias30,vr_d0,vr_tm1,touch,tseg
603989.SSE,艾华集团,yang2,2026-06-15,2026-06-16,4,True,True,True,++,全多(10>20>30),>5,>5,>5,0.8505630172296839,0.9361982773948389,13:15,午13:00~14:00
603989.SSE,艾华集团,yin4,2026-06-23,2026-06-24,2,True,True,False,++,全多(10>20>30),>5,>5,>5,0.7869406361908418,2.2264931189689112,10:00,早09:30~10:30
603989.SSE,艾华集团,yin4,2026-07-08,2026-07-09,0,False,False,False,++,全多(10>20>30),<-5,<-5,0~5,1.5952624007865734,0.6292001017505724,09:45,早09:30~10:30
603989.SSE,艾华集团,yin4,2026-07-15,2026-07-16,0,False,False,False,-+,混合,<-5,<-5,<-5,1.3084930091752334,0.9317674442515703,10:30,早09:30~10:30
603990.SSE,麦迪科技,yang2,2024-02-27,2024-02-28,0,False,False,False,--,全空(10<20<30),>5,>5,0~5,1.607143051775572,1.2520430993801697,,
603990.SSE,麦迪科技,yang2,2025-02-25,2025-02-26,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.4316569255070934,0.8945362544601206,13:30,午13:00~14:00
603990.SSE,麦迪科技,yin2,2025-03-13,2025-03-14,0,False,False,False,++,全多(10>20>30),0~5,0~5,>5,1.0133787862448904,0.7139384416783102,15:00,尾14:00~15:00
603991.SSE,领先股份,yang2,2023-11-17,2023-11-20,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.49609962891904,1.204803533104024,,
603991.SSE,领先股份,yin2,2023-11-24,2023-11-27,0,False,False,False,++,全多(10>20>30),-5~0,>5,>5,1.21202966328705,0.5197884369870509,,
605003.SSE,众望布艺,yang2,2026-01-09,2026-01-12,0,False,False,False,++,全多(10>20>30),0~5,>5,>5,1.233901070882203,0.4795297226586381,10:45,中10:30~11:30
605005.SSE,合兴股份,yin2,2025-05-30,2025-06-03,2,True,True,False,++,全多(10>20>30),>5,>5,>5,2.1090042342777573,10.45050007869622,09:45,早09:30~10:30
605006.SSE,山东玻纤,yin2,2025-06-30,2025-07-01,1,True,False,False,-+,混合,>5,>5,>5,3.2614881576525017,0.7364737987719697,14:00,午13:00~14:00
605006.SSE,山东玻纤,yang2,2026-06-15,2026-06-16,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.6695840755944543,1.0642992503085533,10:00,早09:30~10:30
605006.SSE,山东玻纤,yin2,2026-07-08,2026-07-09,0,False,False,False,-+,混合,<-5,<-5,<-5,1.3407813169456877,0.6330312081716958,09:45,早09:30~10:30
605011.SSE,杭州热电,yang4,2023-05-18,2023-05-19,5,True,True,True,++,全多(10>20>30),>5,>5,>5,1.5540115756043964,2.1989851746251,,
605011.SSE,杭州热电,yang4,2023-05-29,2023-05-30,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.1112035829344917,1.115460360192919,,
605011.SSE,杭州热电,yang4,2023-06-21,2023-06-26,1,True,False,False,-+,混合,>5,>5,>5,1.9565941983156623,1.6831195550255351,,
605011.SSE,杭州热电,yang2,2024-01-02,2024-01-03,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.7627543265652679,1.336256356906536,,
605028.SSE,世茂能源,yin2,2023-06-02,2023-06-05,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.0320562836399223,0.5776435136622412,,
605028.SSE,世茂能源,yang2,2023-06-21,2023-06-26,1,True,False,False,-+,混合,>5,0~5,>5,2.9840439599188975,0.906632810028729,,
605028.SSE,世茂能源,yin2,2023-06-27,2023-06-28,1,True,False,False,-+,混合,>5,>5,>5,1.3802455933879163,2.044109215587256,,
605028.SSE,世茂能源,yin4,2025-09-09,2025-09-10,1,True,False,False,-+,混合,>5,>5,>5,2.7251808609698447,1.0966949918310347,13:30,午13:00~14:00
605028.SSE,世茂能源,yin4,2025-09-12,2025-09-15,1,True,False,False,-+,混合,>5,>5,>5,1.2798033380189848,0.7103574267174395,13:30,午13:00~14:00
605028.SSE,世茂能源,yin2,2026-07-21,2026-07-22,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.46724473729376387,1.1200510685835117,09:45,早09:30~10:30
605033.SSE,美邦股份,yang2,2025-06-05,2025-06-06,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.3348547692136135,0.8213696814455791,14:45,尾14:00~15:00
605033.SSE,美邦股份,yin2,2025-06-11,2025-06-12,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.5765791802893734,0.662650189091428,10:15,早09:30~10:30
605056.SSE,咸亨国际,yin2,2024-10-17,2024-10-18,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.9920450404386525,0.8825156376324411,14:45,尾14:00~15:00
605058.SSE,澳弘电子,yang2,2025-07-08,2025-07-09,1,True,False,False,++,全多(10>20>30),>5,>5,>5,1.1540069512476678,0.7207789136119036,10:30,早09:30~10:30
605068.SSE,明新旭腾,yin2,2024-02-26,2024-02-27,1,True,False,False,--,全空(10<20<30),>5,>5,>5,0.8142326300104854,1.114331975347331,,
605068.SSE,明新旭腾,yin2,2025-05-09,2025-05-12,0,False,False,False,++,全多(10>20>30),>5,>5,>5,1.4260524062976887,1.6714142381012789,13:45,午13:00~14:00
605068.SSE,明新旭腾,yang2,2025-09-04,2025-09-05,1,True,False,False,++,全多(10>20>30),>5,>5,>5,0.9518862443501295,0.8757960828525851,10:30,早09:30~10:30
605069.SSE,正和生态,yang4,2023-09-04,2023-09-05,1,True,False,False,++,全多(10>20>30),0~5,>5,>5,1.4827660496670894,0.6725790242311052,,
