代码,名称,买入日,组,N,阴阳,首板日,地基涨跌%,距60日新高%,距60日低点%,均线,地基前20日涨幅%,距前波末板,前波60日最高板,前波120日最高板,b1日,b1板型,b1开盘%,b1下影%,b1换手%,b2日,b2板型,b2开盘%,b2下影%,b2换手%,链,买价,买入开盘%,买入换手%,买入量比,买入日涨停家数,昨日涨停家数,封住,次日开%,次日收%,次日连板,持有到断板%,持有天数,未完,最终高度,结果,坏票,月,年,b3日,b3板型,b3开盘%,b3下影%,b3换手%,四组,胜,换手梯度
002195.SZSE,岩山科技,2026-01-08,三接四,3,阳,2026-01-05,2.01,-13.6,9.8,++-,2.8,84.0,0,2,01-05,一字,10.0,0.0,2.6,01-06,一字,10.0,0.0,1.3,一字+10→一字+10→一字+10,10.38,2.44,34.0,3.85,77,63,True,-0.39,-0.29,False,-0.29,1.0,False,4,封次日负,True,2026-01,2026,01-07,一字,10.0,0.0,2.1,三接四阳,False,-1.3
002263.SZSE,大东南,2025-06-27,三接四,3,阳,2025-06-24,2.4,-9.2,26.7,---,-7.9,,0,0,06-24,下影,-0.4,0.4,2.6,06-25,下影,6.4,0.7,5.1,下影-0→下影+6→下影+9,3.75,9.97,13.7,1.43,42,46,True,1.33,10.13,True,12.27,2.0,False,5,连板,False,2025-06,2025,06-26,下影,9.4,7.7,24.8,三接四阳,True,2.4999999999999996
002265.SZSE,建设工业,2024-12-05,三接四,3,阳,2024-12-02,4.02,-11.6,44.7,--+,5.6,,0,0,12-02,实体,0.4,0.0,3.0,12-03,一字,10.0,0.0,2.1,实体+0→一字+10→下影+10,16.68,5.54,3.9,0.74,103,69,True,10.01,10.01,True,15.65,2.0,False,5,连板,False,2024-12,2024,12-04,下影,10.0,4.7,14.8,三接四阳,True,-0.8999999999999999
002310.SZSE,东方新能,2023-07-24,三接四,3,阳,2023-07-19,-0.58,-14.6,6.2,-+-,-0.6,,0,0,07-19,下影,0.6,0.6,1.9,07-20,下影,5.3,0.5,3.8,下影+1→下影+5→下影+10,2.5,10.13,20.3,3.33,19,24,False,-8.4,-5.6,False,-5.6,1.0,False,3,炸板,True,2023-07,2023,07-21,下影,10.2,2.9,3.9,三接四阳,False,1.9
002313.SZSE,日海智能,2025-08-08,三接四,3,阳,2025-08-05,1.89,-10.4,17.2,++-,2.7,117.0,0,2,08-05,下影,-0.6,0.5,11.1,08-06,下影,6.7,1.7,14.8,下影-1→下影+7→下影+5,14.96,2.94,34.5,1.94,48,47,True,-3.54,-3.14,False,-3.14,1.0,False,4,封次日负,True,2025-08,2025,08-07,下影,5.2,1.5,23.2,三接四阳,False,3.700000000000001
002457.SZSE,青龙管业,2023-10-30,三接四,3,阳,2023-10-25,5.05,-9.5,12.8,++-,9.4,,0,0,10-25,一字,10.0,0.0,3.4,10-26,下影,10.0,2.2,25.0,一字+10→下影+10→下影-3,12.79,9.97,38.9,1.72,54,67,True,-7.04,-10.01,False,-10.01,1.0,False,4,封次日负,True,2023-10,2023,10-27,下影,-3.0,7.0,34.0,三接四阳,False,21.6
002565.SZSE,顺灏股份,2025-12-03,三接四,3,阳,2025-11-28,-1.35,-10.6,12.3,--+,9.3,107.0,0,2,11-28,一字,10.0,0.0,3.5,12-01,一字,10.0,0.0,1.0,一字+10→一字+10→下影+2,10.68,0.1,23.6,2.09,46,41,True,-0.75,1.31,False,1.31,1.0,False,4,封次日正,False,2025-12,2025,12-02,下影,1.6,1.9,23.0,三接四阳,True,-2.5
002645.SZSE,华宏科技,2025-07-16,三接四,3,阳,2025-07-11,2.81,-9.4,38.7,+-+,-3.9,320.0,0,0,07-11,下影,1.6,1.5,10.0,07-14,下影,7.0,1.6,14.7,下影+2→下影+7→下影+10,13.92,1.82,27.8,1.95,49,38,True,-1.65,-6.39,False,-6.39,1.0,False,4,封次日负,True,2025-07,2025,07-15,下影,10.0,3.0,12.2,三接四阳,False,4.699999999999999
002651.SZSE,利君股份,2025-05-12,三接四,3,阳,2025-05-07,2.6,-9.8,27.5,-+-,0.3,119.0,0,2,05-07,下影,1.8,0.6,8.2,05-08,下影,8.3,4.5,23.3,下影+2→下影+8→实体+7,9.83,-6.15,20.3,1.22,38,27,True,7.22,9.97,True,31.03,3.0,False,6,连板,False,2025-05,2025,05-09,实体,6.6,0.1,28.0,三接四阳,True,15.100000000000001
002658.SZSE,雪迪龙,2025-07-03,三接四,3,阳,2025-06-30,0.71,-11.0,26.5,--+,-2.1,143.0,0,0,06-30,实体,0.4,0.0,11.4,07-01,下影,8.6,1.4,9.0,实体+0→下影+9→下影+10,10.42,10.03,15.4,1.4,52,51,True,5.66,-9.98,False,-9.98,1.0,False,4,封次日负,True,2025-07,2025,07-02,下影,10.0,5.6,17.4,三接四阳,False,-2.4000000000000004
002800.SZSE,天顺股份,2025-04-11,三接四,3,阳,2025-04-08,-4.13,-8.2,24.0,+-+,1.9,171.0,0,0,04-08,实体,-1.8,0.0,12.7,04-09,下影,10.0,2.8,10.5,实体-2→下影+10→一字+10,15.96,2.96,35.9,2.33,64,125,False,-16.79,-16.79,False,-16.79,1.0,False,3,炸板,True,2025-04,2025,04-10,一字,10.0,0.0,1.0,三接四阳,False,-2.1999999999999993
002855.SZSE,捷荣技术,2023-09-04,三接四,3,阳,2023-08-30,7.99,-9.0,10.9,---,0.5,,0,0,08-30,一字,10.0,0.0,1.0,08-31,一字,10.0,0.0,1.5,一字+10→一字+10→下影+7,14.64,9.99,6.8,1.96,40,17,True,9.97,9.97,True,30.46,3.0,False,6,连板,False,2023-09,2023,09-01,下影,7.4,0.4,6.8,三接四阳,True,0.5
002896.SZSE,中大力德,2023-06-19,三接四,3,阳,2023-06-14,0.52,-12.8,30.2,--+,22.6,,0,0,06-14,下影,0.1,1.1,11.4,06-15,下影,6.7,1.0,5.3,下影+0→下影+7→一字+10,39.41,9.99,12.7,1.7,34,41,True,0.91,7.36,False,7.36,1.0,False,4,封次日正,False,2023-06,2023,06-16,一字,10.0,0.0,1.2,三接四阳,True,-6.1000000000000005
002902.SZSE,铭普光磁,2023-06-06,三接四,3,阳,2023-06-01,4.44,-8.4,32.4,++-,10.4,,0,0,06-01,实体,4.2,0.0,12.9,06-02,一字,10.0,0.0,2.8,实体+4→一字+10→下影+10,26.52,7.84,18.4,1.0,35,35,True,4.86,9.99,True,15.46,2.0,False,5,连板,False,2023-06,2023,06-05,下影,10.0,10.0,28.1,三接四阳,True,-10.100000000000001
600048.SSE,保利发展,2024-10-08,三接四,3,阳,2024-09-26,1.47,-12.9,13.6,++-,3.4,,0,0,09-26,实体,-1.0,0.0,2.9,09-27,下影,5.3,0.3,3.7,实体-1→下影+5→下影+10,12.13,9.97,5.7,1.43,352,626,False,-12.61,-18.47,False,-18.47,1.0,False,3,炸板,True,2024-10,2024,09-30,下影,10.0,7.8,5.3,三接四阳,False,0.8000000000000003
