组,月,笔数,坏票率,封住率,次日收,持有到断板
4板反包阳,2023-07,1,100%,100%,-1.97,-1.97
4板反包阳,2023-11,1,0%,100%,10.01,22.88
4板反包阳,2024-01,1,100%,100%,-9.98,-9.98
4板反包阳,2024-08,1,100%,0%,-1.52,-1.52
4板反包阳,2024-10,1,100%,0%,-13.32,-3.69
4板反包阳,2024-11,6,67%,100%,-2.92,-0.29
4板反包阳,2024-12,7,86%,29%,-12.93,-9.63
4板反包阳,2025-02,4,75%,75%,-4.96,-4.11
4板反包阳,2025-03,2,100%,50%,-8.47,-5.15
4板反包阳,2025-04,2,50%,100%,0.01,-5.3
4板反包阳,2025-05,2,50%,100%,2.88,2.88
4板反包阳,2025-06,4,25%,75%,5.82,7.86
4板反包阳,2025-07,4,50%,50%,-2.06,-4.04
4板反包阳,2025-08,4,50%,100%,1.29,-1.12
4板反包阳,2025-10,2,100%,100%,-7.02,-7.02
4板反包阳,2025-11,1,0%,100%,2.53,2.53
4板反包阳,2025-12,7,43%,57%,-0.22,-0.48
4板反包阳,2026-01,3,100%,33%,-12.12,-5.72
4板反包阳,2026-02,1,0%,100%,9.99,6.78
4板反包阳,2026-03,3,67%,67%,-3.01,-1.15
4板反包阳,2026-04,1,0%,100%,3.02,3.02
4板反包阳,2026-05,2,100%,50%,-1.22,-2.37
4板反包阳,2026-06,4,25%,50%,1.75,0.7
4板反包阳,2026-08,2,0%,100%,5.2,5.2
4板反包阳,2026-09,3,100%,33%,-8.72,-7.4
4板反包阴,2023-04,1,0%,0%,7.68,-2.12
4板反包阴,2023-05,2,50%,100%,-0.0,-0.0
4板反包阴,2023-06,2,100%,0%,-4.18,-5.7
4板反包阴,2023-09,2,50%,100%,0.48,-5.02
4板反包阴,2023-10,1,100%,100%,-3.65,-3.65
4板反包阴,2023-11,2,50%,100%,0.02,-2.71
4板反包阴,2023-12,3,67%,67%,-2.23,-3.75
4板反包阴,2024-01,4,50%,50%,0.43,0.52
4板反包阴,2024-02,2,50%,50%,-0.79,-4.61
4板反包阴,2024-03,5,60%,60%,-2.04,-2.66
4板反包阴,2024-09,3,67%,67%,-0.32,-2.22
4板反包阴,2024-10,6,33%,83%,1.09,4.41
4板反包阴,2024-11,10,60%,60%,0.01,-0.71
