代码,名称,买入日,四组,方案点,阴阳,地基涨跌%,地基档,距MA5%,距MA10%,距MA20%,距MA30%,站上均线数,MA10位置,MA10斜率%,MA20斜率%,反包结构,断板天数,前板高度,反包收复%,断板回撤%,前板日,链,买入开盘%,次日收%,持有到断板%,月,年
002090.SZSE,金智科技,2025-01-22,二接三阳,—,阳,0.57,小阳0~3,1.9,3.1,0.9,-0.4,3,上,-1.0,-0.6,60日内无板,,,,,,实体+1→一字+10,10.05,-20.65,-20.65,2025-01,2025
002093.SZSE,国脉科技,2025-03-11,三接四阳,A1,阳,1.35,小阳0~3,1.2,-1.5,-1.8,0.8,2,下,-1.81,1.09,60日内无板,,,,,,实体+2→一字+10→一字+10,1.73,0.0,0.0,2025-03,2025
002094.SZSE,青岛金王,2024-10-15,二接三阴,—,阴,-0.37,小阴-3~0,-1.5,7.5,14.6,18.3,3,上,12.45,6.39,断16~60天,31.0,1.0,24.9,-15.2,08-19,下影-0→下影+10,0.61,-1.67,-1.67,2024-10,2024
002094.SZSE,青岛金王,2024-10-16,三接四阴,—,阴,-0.37,小阴-3~0,-1.5,7.5,14.6,18.3,3,上,12.45,6.39,断16~60天,31.0,1.0,24.9,-15.2,08-19,下影-0→下影+10→下影+1,3.34,-1.77,1.01,2024-10,2024
002094.SZSE,青岛金王,2024-10-23,二接三阳,—,阳,2.84,小阳0~3,9.3,23.3,45.3,55.7,4,上,25.34,15.11,断1天,1.0,1.0,13.1,-3.9,10-17,实体-3→下影+3,4.76,9.79,9.79,2024-10,2024
002094.SZSE,青岛金王,2024-10-24,三接四阳,—,阳,2.84,小阳0~3,9.3,23.3,45.3,55.7,4,上,25.34,15.11,断1天,1.0,1.0,13.1,-3.9,10-17,实体-3→下影+3→下影+5,7.34,9.76,59.25,2024-10,2024
002094.SZSE,青岛金王,2024-10-30,三接四阳,—,阳,9.79,巨阳≥5,19.7,40.2,75.1,97.6,4,上,34.66,25.36,断1天,1.0,3.0,20.7,-0.6,10-23,下影-4→下影+8→一字+10,10.05,9.95,8.9,2024-10,2024
002094.SZSE,青岛金王,2025-04-10,二接三阴,—,阴,-4.1,大阴-5~-3,3.2,4.0,0.1,-1.8,3,上,-2.88,-2.56,断1天,1.0,1.0,5.5,-7.2,04-03,下影-2→下影+2,1.47,-1.07,-1.07,2025-04,2025
002094.SZSE,青岛金王,2025-04-11,三接四阴,—,阴,-4.1,大阴-5~-3,3.2,4.0,0.1,-1.8,3,上,-2.88,-2.56,断1天,1.0,1.0,5.5,-7.2,04-03,下影-2→下影+2→下影+1,4.68,-5.22,-5.22,2025-04,2025
002094.SZSE,青岛金王,2025-04-23,二接三阴,—,阴,-5.88,巨阴≤-5,-10.7,-5.5,7.5,9.8,2,下,17.89,7.28,断4~7天,6.0,3.0,-1.2,-11.0,04-10,下影-3→下影+10,9.96,2.24,2.24,2025-04,2025
