代码,买入日,方案点,四组,年,封住,缩量强趋势,E0,E1,E2,E3,E4,E5,E6
600463.SSE,2024-09-18,—,二接三阳,2024,False,False,-11.152416356877314,-13.847583643122674,-11.152416356877314,-4.2750929368029595,-13.847583643122674,-11.152416356877314,-6.8773234200743545
600463.SSE,2025-05-22,—,三接四阳,2025,False,False,-18.061366806136682,-13.877266387726639,-18.061366806136682,-8.926080892608091,-13.877266387726639,-18.061366806136682,-25.73221757322175
600468.SSE,2025-05-20,—,二接三阴,2025,True,False,-1.3136288998357948,6.732348111658459,-1.3136288998357948,-1.3136288998357948,-1.3136288998357948,-11.165845648604266,-11.165845648604266
600468.SSE,2025-05-21,—,三接四阴,2025,False,False,-19.253731343283587,-17.910447761194035,-19.253731343283587,-10.298507462686569,-17.910447761194035,-19.253731343283587,-19.253731343283587
600468.SSE,2025-06-04,—,二接三阳,2025,False,False,-14.740566037735848,-15.094339622641506,-14.740566037735848,-8.254716981132082,-15.094339622641506,-14.740566037735848,-6.25
600468.SSE,2025-06-10,—,二接三阳,2025,True,False,-9.865005192108,-3.530633437175512,-9.865005192108,-9.865005192108,-3.530633437175512,-5.607476635514031,-5.607476635514031
600470.SSE,2024-11-22,—,三接四阴,2024,True,False,-0.9803921568627416,-5.1820728291316565,9.943977591036424,-0.9803921568627416,-5.1820728291316565,-10.924369747899155,-10.924369747899155
600475.SSE,2025-07-07,—,二接三阴,2025,True,False,19.73969631236441,3.543022415039765,9.97830802603037,19.73969631236441,19.73969631236441,20.75198843094721,20.75198843094721
600475.SSE,2025-07-08,—,三接四阴,2025,True,False,8.875739644970393,0.591715976331364,9.993425378040754,8.875739644970393,8.875739644970393,9.796186719263634,9.796186719263634
600475.SSE,2025-08-07,—,二接三阴,2025,True,True,18.79543094496363,6.438213914849422,10.020768431983385,18.79543094496363,18.79543094496363,16.562824506749728,16.562824506749728
600475.SSE,2025-08-08,—,三接四阴,2025,True,True,7.975460122699385,2.406795658329397,7.975460122699385,7.975460122699385,7.975460122699385,5.946201038225563,5.946201038225563
600477.SSE,2026-01-13,A1,三接四阳,2026,True,False,2.064220183486243,-5.275229357798173,2.064220183486243,2.064220183486243,-5.275229357798173,-8.02752293577983,-8.02752293577983
600479.SSE,2026-08-28,—,二接三阳,2026,True,False,-8.852213053263313,-3.975993998499616,-8.852213053263313,-8.852213053263313,-3.975993998499616,-2.7756939234808597,0.30007501875468634
600481.SSE,2024-10-30,—,三接四阴,2024,True,False,17.70992366412214,10.076335877862608,10.076335877862608,17.70992366412214,17.70992366412214,22.137404580152676,22.137404580152676
600488.SSE,2026-03-31,—,二接三阳,2026,True,False,40.45801526717556,9.923664122137389,9.923664122137389,40.45801526717556,40.45801526717556,35.114503816793885,35.114503816793885
600488.SSE,2026-04-01,A1,三接四阳,2026,True,True,27.77777777777779,10.069444444444443,10.069444444444443,27.77777777777779,27.77777777777779,22.916666666666675,22.916666666666675
600498.SSE,2026-03-02,—,二接三阴,2026,True,True,-1.0227473108799123,2.9977076353376653,-1.0227473108799123,-1.0227473108799123,-1.0227473108799123,3.050608358314233,3.050608358314233
